doc_id,nrc_negative,nrc_positive,lsd2015_negative,lsd2015_positive,geninq_positive,geninq_negative
300,1,0,2,0,0,2
301,0,0,0,1,0,0
302,1,0,0,0,1,0
303,1,0,1,0,0,1
304,2,1,1,0,0,1
305,0,2,0,0,0,1
306,0,0,0,0,0,0
307,0,0,1,2,0,0
308,0,1,0,1,1,0
309,0,0,1,0,0,0
31,2,1,3,1,1,3
310,1,0,1,0,0,0
311,2,0,2,0,0,2
312,0,0,0,0,1,1
313,1,1,2,0,0,1
314,2,0,3,0,0,1
315,0,0,0,1,0,1
316,1,3,1,1,1,1
317,1,1,1,0,0,1
318,0,1,1,0,0,1
319,2,1,2,1,0,1
32,1,0,1,0,0,1
320,1,0,1,0,0,1
321,0,0,0,0,0,0
322,0,1,1,0,1,1
323,1,3,1,0,1,1
324,0,1,0,0,1,1
325,1,2,0,1,2,0
326,0,0,0,0,0,0
327,1,1,1,2,0,0
328,1,0,1,0,0,2
329,1,0,2,0,0,0
33,2,1,2,0,1,2
330,1,0,2,1,1,1
331,0,2,1,1,1,0
332,3,1,2,0,0,2
333,1,0,0,0,1,0
334,0,0,2,0,0,0
335,1,0,2,0,0,1
336,2,1,3,0,0,2
337,1,0,1,1,0,1
338,0,0,0,0,0,0
339,2,0,1,0,0,1
34,2,0,1,0,0,0
340,1,0,0,0,0,0
341,1,1,1,0,0,2
342,0,0,0,0,0,0
343,0,1,0,0,1,0
344,0,0,1,1,0,0
345,1,0,1,1,1,0
346,0,1,0,2,2,1
35,0,0,0,0,1,2
36,2,2,3,0,0,3
37,0,1,0,1,1,0
38,0,0,0,0,0,1
39,0,0,1,0,0,0
4,0,2,0,0,1,1
40,0,1,1,1,3,1
41,1,0,0,0,0,0
42,0,0,1,0,0,0
43,1,2,2,2,2,2
44,2,1,1,0,0,1
45,0,1,1,0,1,1
46,0,0,1,0,0,0
47,1,1,1,1,1,1
48,3,0,3,0,0,1
49,0,0,0,0,0,0
5,1,1,1,0,1,1
50,3,2,3,2,1,3
51,0,1,0,1,2,0
52,0,1,1,1,0,0
53,1,1,1,2,2,1
54,0,0,0,0,0,1
55,0,0,1,0,0,0
56,1,1,1,2,1,1
57,0,0,0,0,0,0
58,0,1,0,0,0,0
59,0,2,0,0,1,0
6,0,1,0,0,0,0
60,0,0,1,0,0,1
61,0,0,0,0,1,0
62,0,0,1,1,0,0
63,1,1,2,0,0,0
64,0,3,0,2,2,1
65,0,2,1,2,1,0
66,0,0,0,0,0,0
67,0,0,0,1,0,0
68,0,1,0,2,2,1
69,1,1,0,0,0,0
7,1,0,2,0,0,1
70,1,0,0,0,0,0
71,1,0,2,0,0,1
72,0,0,0,1,0,0
73,0,1,1,0,1,2
74,1,1,3,0,1,2
75,0,1,0,0,0,0
76,0,3,0,2,2,0
77,1,1,1,0,1,1
78,0,2,0,2,2,0
79,0,0,0,0,0,0
8,0,1,0,1,1,0
80,0,1,0,0,1,0
81,0,1,0,0,0,1
82,1,0,1,1,1,0
83,2,0,4,0,0,3
84,0,1,1,0,0,0
85,0,1,0,1,2,0
86,1,0,2,0,0,1
87,0,1,1,1,1,1
88,1,0,1,0,0,1
89,2,0,2,0,0,2
9,0,1,1,1,1,0
90,0,0,0,0,0,0
91,2,0,4,0,0,1
92,0,0,0,0,0,1
93,1,0,1,0,0,1
94,1,1,2,0,0,0
95,2,0,0,0,0,0
96,1,1,1,0,0,0
97,2,0,2,0,0,3
98,0,2,0,1,1,0
99,0,0,0,0,0,0
