nrc_doc_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust
226,0,0,0,0,0,0,0,0,0,0
227,0,2,0,0,0,0,0,0,0,1
228,0,0,0,0,0,0,1,0,1,1
229,0,0,0,0,0,1,0,1,0,1
23,0,1,0,1,1,1,2,0,0,1
230,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,1,0,0,0,0
234,1,1,1,1,1,1,2,1,1,1
235,0,0,0,0,0,0,1,0,0,0
236,0,0,0,0,0,0,0,0,0,0
237,0,1,0,0,0,0,0,0,0,0
238,0,1,0,1,0,1,0,0,0,0
239,0,0,0,1,0,1,0,0,0,0
24,0,0,0,0,0,0,0,0,1,0
240,0,0,0,1,0,2,0,0,1,0
241,1,0,0,2,0,2,0,0,1,0
242,1,1,0,1,0,1,0,1,0,0
243,0,0,0,1,0,2,0,1,0,0
244,1,0,0,1,0,2,1,0,0,0
245,0,1,0,0,1,0,1,0,1,1
246,0,0,0,1,0,1,0,0,0,0
247,0,0,0,0,0,0,1,0,0,2
248,0,0,0,0,0,0,1,0,0,1
249,0,0,0,0,0,0,1,0,0,1
25,1,0,0,1,0,1,0,1,1,0
250,0,0,0,0,0,0,0,0,0,1
251,0,0,0,0,0,0,0,0,0,0
252,1,1,0,2,0,2,0,0,0,0
253,0,0,1,0,0,0,0,0,0,1
254,1,0,0,0,0,1,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,1,0,0,1
257,0,1,0,1,0,1,1,1,0,0
258,0,0,0,0,0,0,0,0,0,0
259,0,0,0,1,0,1,1,0,0,0
26,0,0,0,0,0,0,0,0,1,1
260,0,0,0,0,0,0,0,0,0,0
261,0,1,0,0,1,0,1,0,1,1
262,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,1,0,0,1
264,0,0,0,0,0,0,2,0,0,2
265,1,0,0,0,0,1,1,1,0,1
266,1,1,0,2,0,2,2,1,0,2
267,1,1,1,1,0,1,0,1,1,0
268,0,0,0,0,0,0,0,0,0,0
269,1,0,0,1,0,1,0,1,1,0
27,0,0,0,0,0,0,1,0,0,1
270,0,0,0,0,0,0,1,0,0,0
271,0,1,0,1,1,1,1,0,0,2
272,0,1,0,0,1,1,1,1,1,1
273,1,1,0,2,0,3,0,0,0,0
274,0,0,0,1,0,1,0,0,0,0
275,0,1,0,0,2,0,2,0,0,1
276,0,1,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0
278,1,0,0,1,0,2,0,1,0,0
279,1,0,0,0,0,3,0,0,0,0
28,1,2,0,1,0,0,1,0,0,0
280,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,2,0,1,1,0
282,0,0,0,0,0,0,1,0,0,1
283,1,0,0,1,0,1,0,1,0,0
284,0,0,0,0,0,0,1,0,0,1
285,0,1,0,0,0,0,1,0,0,0
286,0,0,0,0,0,0,1,0,1,0
287,0,2,0,0,2,1,2,0,0,2
288,1,0,0,1,0,2,0,1,0,1
289,0,0,0,0,0,1,1,0,0,1
29,1,2,0,1,2,1,2,1,1,2
290,0,1,0,0,1,1,1,1,1,0
291,0,0,1,0,0,2,2,1,0,0
292,0,1,0,0,0,0,0,0,0,0
293,0,0,1,0,0,0,2,0,0,3
294,1,0,1,1,0,2,0,1,0,0
295,0,0,0,0,0,0,0,0,0,1
296,0,1,0,0,0,1,0,1,1,0
297,0,0,0,0,0,1,1,1,0,1
298,0,1,0,0,1,2,1,1,1,1
299,1,0,0,0,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
30,1,1,0,1,1,0,2,0,0,1
300,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,1,0,0,1
303,0,0,0,0,0,1,0,0,0,0
304,0,1,0,2,0,2,1,0,0,0
305,1,0,0,0,1,1,2,0,0,1
306,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,1,0,0,0,0
308,0,0,0,0,0,1,2,1,0,1
309,0,0,0,0,0,0,0,0,0,0
31,0,1,0,0,1,1,1,0,0,0
310,0,0,1,1,0,1,0,2,0,0
311,0,0,0,1,0,1,0,0,0,0
312,2,0,0,1,0,2,0,2,0,0
313,0,1,0,1,0,1,1,0,0,0
314,0,1,0,1,1,1,1,1,0,1
315,0,0,0,0,0,0,0,0,0,0
316,0,1,0,1,0,1,0,0,1,0
317,0,1,0,1,0,1,2,0,0,1
318,0,0,0,0,0,0,2,0,0,2
319,0,0,1,1,0,1,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
320,0,1,0,1,0,1,1,0,0,1
321,0,1,0,1,0,0,0,0,0,0
322,1,1,0,1,0,0,1,0,0,1
323,0,0,0,1,1,1,2,0,0,2
324,0,1,0,0,1,0,1,0,1,1
325,0,0,0,0,1,1,2,0,1,2
326,0,0,0,0,0,0,1,0,0,1
327,0,1,0,1,0,1,1,0,0,0
328,0,1,0,0,0,0,0,0,0,0
329,1,1,1,1,0,1,0,1,0,0
33,2,0,0,2,0,2,1,1,0,0
330,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,1,0,0,1
332,0,0,0,0,0,0,0,0,0,0
333,0,0,0,1,0,2,1,0,0,0
334,1,0,1,0,0,2,0,2,0,0
335,0,0,0,1,0,1,0,0,0,0
336,0,0,0,0,0,1,0,1,0,2
337,0,0,0,0,0,1,0,0,1,1
338,0,0,0,0,0,0,2,0,0,1
339,0,0,0,0,0,2,0,0,0,0
34,0,0,0,0,0,2,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0
341,1,0,0,1,0,2,1,0,0,1
342,0,0,0,1,0,0,2,0,0,1
343,1,2,0,1,0,0,2,0,0,3
344,0,0,0,1,0,0,1,0,0,0
345,0,1,0,0,2,0,2,0,0,2
346,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
36,1,0,0,2,0,1,2,1,0,1
37,0,3,0,0,2,0,2,0,1,1
38,1,1,0,1,0,0,2,0,0,0
39,0,1,0,1,0,0,0,0,0,0
4,0,1,0,0,1,0,2,0,1,3
40,0,0,0,1,1,0,1,0,1,1
41,0,1,1,1,0,1,1,0,0,1
42,0,1,0,0,0,0,1,0,0,1
43,1,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,2,0,0,1,1
45,0,2,0,0,2,0,2,0,1,2
46,0,0,0,0,0,0,0,0,0,0
47,1,0,1,1,0,1,0,1,0,0
48,0,0,0,1,0,1,0,0,0,0
49,0,0,0,0,1,0,1,0,0,0
5,0,0,0,0,0,0,0,0,0,0
50,2,0,0,2,0,3,2,0,1,1
51,0,1,0,0,1,0,1,0,0,1
52,0,0,0,0,0,0,0,0,1,0
53,1,1,1,1,1,1,1,1,1,1
54,0,1,0,0,1,1,1,1,0,1
55,0,0,0,0,0,0,0,0,0,0
56,0,0,0,1,0,1,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,1,0
59,0,1,0,0,1,0,2,0,0,2
6,0,0,0,0,0,0,1,0,1,1
60,0,0,0,1,0,1,1,1,0,1
61,0,0,0,0,0,0,0,0,0,0
62,0,0,0,1,0,0,0,0,0,1
63,0,0,0,0,0,2,1,0,0,0
64,0,1,0,0,0,0,2,0,0,1
65,0,0,0,0,1,0,2,0,0,0
66,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,1,0,1,1,0
69,0,1,0,1,0,1,0,0,0,0
7,0,2,0,0,2,0,2,0,1,2
70,0,1,0,0,0,0,0,0,1,0
71,1,0,1,1,0,1,1,1,1,0
72,1,1,0,1,1,1,1,0,0,1
73,0,0,0,0,0,0,1,0,0,1
74,1,0,0,1,0,1,0,0,0,0
75,0,1,0,0,0,0,2,0,0,0
76,0,1,0,0,1,0,2,0,0,2
77,0,0,0,0,1,0,1,0,0,1
78,0,1,0,1,1,0,3,0,0,1
79,0,0,0,0,0,0,0,0,1,0
8,0,2,0,0,2,0,2,0,1,2
80,1,1,0,1,0,0,3,0,0,1
81,1,1,0,1,0,0,1,0,0,0
82,0,0,0,1,0,0,0,0,0,0
83,1,1,2,2,0,2,0,2,0,0
84,0,0,0,0,0,0,1,0,0,0
85,0,1,0,0,1,0,1,0,0,1
86,0,0,0,1,0,1,0,0,0,0
87,0,1,0,0,1,0,1,0,1,1
88,0,0,0,2,0,2,0,0,0,1
89,2,0,1,2,0,2,0,2,0,0
9,0,1,0,0,1,0,2,0,0,1
90,0,0,0,0,0,0,0,0,0,0
91,2,0,0,3,0,3,0,1,0,0
92,1,0,1,0,0,1,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0
94,1,0,1,1,0,1,0,1,0,0
95,0,0,0,0,0,0,0,0,0,0
96,0,1,0,0,0,1,1,0,0,1
97,0,0,0,1,0,1,0,0,0,1
98,0,0,0,0,1,0,1,0,0,1
99,0,0,0,0,0,0,0,0,0,0
