article,print_bing,print_nrc,print_afinn,print_final,main_bing,main_nrc,main_afinn,main_final
121,neutral,neutral,positive,negative,positive,positive,neutral,negative
122,NA,negative,NA,negative,NA,positive,NA,negative
123,NA,positive,negative,negative,NA,NA,negative,negative
124,NA,NA,NA,negative,NA,negative,negative,negative
125,negative,neutral,negative,negative,negative,neutral,negative,negative
126,negative,negative,negative,negative,negative,negative,negative,negative
127,negative,negative,negative,negative,negative,NA,NA,negative
128,negative,negative,negative,negative,negative,negative,negative,negative
129,negative,negative,NA,negative,NA,neutral,NA,negative
130,negative,negative,positive,negative,negative,negative,positive,negative
131,positive,neutral,positive,negative,neutral,positive,positive,negative
132,NA,positive,negative,negative,NA,negative,negative,negative
133,negative,negative,NA,negative,NA,negative,NA,negative
134,positive,positive,positive,negative,positive,positive,positive,negative
135,negative,negative,negative,negative,negative,negative,negative,negative
136,positive,positive,positive,negative,positive,positive,NA,negative
137,NA,positive,positive,negative,NA,positive,positive,negative
138,positive,positive,positive,negative,positive,negative,NA,negative
139,positive,positive,NA,negative,positive,positive,negative,negative
140,NA,NA,negative,negative,NA,NA,negative,negative
141,negative,negative,negative,negative,negative,negative,negative,negative
142,negative,negative,negative,negative,NA,negative,negative,negative
143,negative,negative,negative,negative,negative,negative,negative,negative
144,positive,positive,positive,negative,positive,positive,NA,negative
145,NA,positive,positive,negative,positive,negative,negative,negative
146,NA,positive,positive,negative,positive,negative,negative,negative
147,negative,negative,NA,negative,negative,positive,negative,negative
148,neutral,negative,negative,negative,negative,negative,negative,negative
149,NA,negative,negative,negative,neutral,negative,neutral,negative
150,NA,positive,NA,negative,negative,positive,NA,negative
151,negative,neutral,negative,negative,neutral,positive,NA,negative
152,negative,positive,negative,negative,negative,negative,negative,negative
153,NA,positive,NA,negative,NA,positive,NA,negative
154,negative,negative,negative,negative,positive,negative,negative,negative
155,negative,negative,negative,negative,negative,negative,negative,negative
156,NA,negative,negative,negative,negative,neutral,NA,negative
157,positive,NA,NA,negative,positive,NA,NA,negative
158,NA,positive,NA,negative,negative,NA,NA,negative
159,NA,NA,NA,negative,NA,NA,NA,negative
160,positive,negative,positive,negative,negative,positive,negative,negative
161,NA,positive,negative,negative,negative,negative,negative,negative
162,NA,neutral,NA,negative,NA,NA,positive,negative
163,negative,negative,negative,negative,negative,NA,negative,negative
164,negative,NA,negative,negative,negative,negative,negative,negative
165,negative,positive,NA,negative,positive,positive,NA,negative
166,NA,NA,negative,negative,negative,negative,negative,negative
167,negative,negative,NA,negative,negative,negative,NA,negative
168,negative,positive,negative,negative,NA,negative,positive,negative
169,negative,negative,negative,negative,NA,positive,NA,negative
170,negative,positive,negative,negative,NA,positive,negative,negative
171,NA,negative,NA,negative,NA,positive,NA,negative
172,neutral,negative,negative,negative,NA,positive,NA,negative
173,negative,negative,negative,negative,negative,negative,negative,negative
174,negative,positive,negative,negative,negative,negative,negative,negative
175,negative,negative,negative,negative,negative,negative,negative,negative
176,negative,positive,NA,negative,negative,negative,NA,negative
177,negative,negative,NA,negative,negative,negative,NA,negative
178,negative,negative,negative,negative,negative,NA,NA,negative
179,neutral,positive,positive,negative,neutral,positive,positive,negative
180,negative,negative,negative,negative,negative,negative,negative,negative
181,NA,positive,NA,negative,NA,positive,positive,negative
182,negative,negative,negative,negative,negative,negative,negative,negative
183,negative,negative,negative,negative,NA,NA,NA,negative
184,negative,negative,negative,negative,NA,NA,NA,negative
185,negative,negative,negative,negative,negative,negative,NA,negative
186,negative,negative,negative,negative,negative,negative,negative,negative
187,NA,negative,NA,negative,NA,neutral,negative,negative
188,negative,negative,negative,negative,negative,negative,negative,negative
189,negative,negative,NA,negative,negative,negative,negative,negative
190,neutral,negative,negative,negative,neutral,negative,negative,negative
191,negative,negative,negative,negative,NA,negative,negative,negative
192,negative,negative,negative,negative,negative,neutral,negative,negative
193,NA,positive,negative,negative,NA,positive,negative,negative
194,positive,positive,positive,negative,positive,positive,positive,negative
195,NA,NA,NA,negative,NA,negative,NA,negative
196,negative,NA,negative,negative,negative,NA,negative,negative
197,NA,positive,negative,negative,NA,positive,negative,negative
198,NA,positive,NA,negative,negative,negative,NA,negative
199,NA,positive,NA,negative,NA,positive,NA,negative
200,negative,negative,negative,negative,negative,neutral,negative,negative
201,NA,NA,NA,negative,negative,negative,negative,negative
202,neutral,positive,positive,negative,negative,negative,negative,negative
203,negative,negative,negative,negative,NA,negative,NA,negative
204,negative,negative,negative,negative,negative,negative,negative,negative
205,negative,NA,negative,negative,negative,negative,negative,negative
206,NA,negative,NA,negative,NA,neutral,NA,negative
207,negative,negative,negative,negative,negative,negative,negative,negative
208,NA,negative,negative,negative,positive,positive,positive,negative
209,NA,positive,NA,negative,negative,negative,negative,negative
210,NA,positive,NA,negative,NA,positive,NA,negative
211,NA,positive,positive,negative,NA,NA,NA,negative
212,negative,NA,negative,negative,negative,negative,negative,negative
213,negative,negative,negative,negative,negative,NA,negative,negative
214,negative,negative,negative,negative,negative,negative,negative,negative
215,negative,negative,NA,negative,negative,positive,positive,negative
216,negative,negative,negative,negative,negative,positive,NA,negative
217,negative,negative,negative,negative,negative,negative,negative,negative
218,NA,NA,NA,negative,negative,negative,negative,negative
219,negative,neutral,negative,negative,negative,neutral,negative,negative
220,negative,negative,negative,negative,negative,positive,negative,negative
221,negative,negative,negative,negative,negative,negative,negative,negative
222,NA,neutral,NA,negative,NA,negative,NA,negative
223,negative,negative,negative,negative,negative,negative,negative,negative
224,NA,positive,negative,negative,NA,neutral,negative,negative
225,positive,neutral,neutral,negative,positive,positive,positive,negative
226,negative,negative,negative,negative,negative,negative,negative,negative
227,NA,negative,negative,negative,NA,neutral,negative,negative
228,NA,negative,negative,negative,NA,negative,negative,negative
229,negative,negative,negative,negative,negative,negative,negative,negative
230,negative,positive,NA,negative,negative,positive,negative,negative
231,NA,NA,positive,negative,positive,NA,positive,negative
232,negative,negative,negative,negative,NA,NA,NA,negative
233,NA,NA,NA,negative,neutral,negative,negative,negative
234,NA,negative,NA,negative,NA,negative,NA,negative
235,NA,positive,positive,negative,neutral,negative,neutral,negative
236,neutral,positive,negative,negative,positive,positive,NA,negative
237,NA,positive,positive,negative,NA,positive,positive,negative
238,positive,positive,positive,negative,NA,NA,negative,negative
239,negative,NA,NA,negative,NA,NA,NA,negative
240,NA,positive,NA,negative,negative,neutral,negative,negative
241,positive,positive,neutral,negative,positive,positive,positive,negative
242,negative,positive,negative,negative,negative,positive,negative,negative
243,positive,positive,NA,negative,positive,positive,negative,negative
244,NA,negative,negative,negative,NA,negative,negative,negative
245,neutral,positive,neutral,negative,NA,positive,NA,negative
246,negative,positive,negative,negative,negative,neutral,NA,negative
247,negative,negative,negative,negative,negative,negative,negative,negative
248,neutral,positive,negative,negative,negative,NA,NA,negative
249,NA,positive,NA,negative,NA,positive,positive,negative
250,NA,positive,NA,negative,NA,NA,NA,negative
251,negative,negative,negative,negative,NA,negative,negative,negative
252,NA,negative,NA,negative,NA,positive,positive,negative
253,NA,positive,NA,negative,positive,positive,NA,negative
254,positive,positive,NA,negative,NA,neutral,NA,negative
255,NA,positive,NA,negative,NA,negative,negative,negative
256,negative,NA,NA,negative,negative,NA,NA,negative
257,NA,NA,NA,negative,positive,positive,NA,negative
258,positive,positive,negative,negative,negative,positive,NA,negative
259,negative,negative,negative,negative,negative,NA,negative,negative
260,NA,positive,negative,negative,NA,negative,NA,negative
261,NA,NA,NA,negative,NA,positive,NA,negative
262,neutral,positive,NA,negative,neutral,positive,NA,negative
263,positive,negative,NA,negative,positive,negative,NA,negative
264,NA,negative,positive,negative,NA,positive,NA,negative
265,negative,negative,negative,negative,negative,negative,negative,negative
266,NA,negative,NA,negative,NA,NA,NA,negative
