doc_id,nrc_negative,nrc_positive,lsd2015_negative,lsd2015_positive,geninq_positive,geninq_negative
300,0,0,1,0,0,2
301,0,0,0,0,0,1
302,0,1,0,0,0,0
303,1,0,1,0,0,0
304,2,1,0,1,0,0
305,1,2,1,0,0,1
306,0,0,0,0,1,0
307,1,0,1,1,0,0
308,1,2,1,2,2,1
309,0,0,1,0,0,0
31,1,1,2,1,1,1
310,1,0,1,0,0,1
311,1,0,3,0,0,1
312,2,0,2,0,0,0
313,1,1,1,0,0,1
314,1,1,2,0,0,1
315,0,0,0,1,0,1
316,1,0,2,0,0,1
317,1,2,1,0,0,1
318,0,2,2,0,0,1
319,1,0,0,0,0,0
32,0,0,1,0,1,0
320,1,1,0,1,1,1
321,0,0,0,0,0,0
322,0,1,1,0,1,0
323,1,2,1,0,0,1
324,0,1,0,0,1,1
325,1,2,1,1,2,0
326,0,1,0,1,0,0
327,1,1,1,2,0,0
328,0,0,0,0,1,0
329,1,0,2,0,0,0
33,2,1,2,0,1,2
330,0,0,0,0,0,0
331,0,1,0,1,1,0
332,0,0,0,0,0,0
333,2,1,1,0,0,1
334,2,0,1,0,0,2
335,1,0,2,0,0,1
336,1,0,1,0,0,0
337,1,0,1,1,0,1
338,0,2,0,1,0,0
339,2,0,1,0,0,1
34,2,0,1,0,0,0
340,0,0,0,0,0,0
341,2,1,1,0,1,1
342,0,2,0,0,0,0
343,0,2,0,0,1,0
344,0,1,1,0,0,0
345,0,2,1,4,1,0
346,0,0,0,1,1,0
35,0,0,1,0,0,1
36,1,2,1,0,0,1
37,0,2,0,2,2,0
38,0,2,0,0,1,0
39,0,0,0,0,0,0
4,0,2,0,0,1,1
40,0,1,1,1,1,0
41,1,1,0,0,0,0
42,0,1,1,1,1,0
43,0,0,0,0,0,2
44,2,0,1,0,0,1
45,0,2,1,1,2,1
46,0,0,1,0,0,0
47,1,0,1,0,0,1
48,1,0,1,0,1,0
49,0,1,0,2,1,0
5,0,0,0,0,0,0
50,3,2,4,2,1,3
51,0,1,0,1,1,0
52,0,0,0,0,0,0
53,1,1,1,2,2,1
54,1,1,1,1,1,0
55,0,0,1,0,1,0
56,1,0,1,0,0,1
57,0,0,0,0,0,1
58,0,0,1,0,0,0
59,0,2,1,0,0,0
6,0,1,0,0,0,1
60,1,1,0,0,0,1
61,0,0,0,0,1,0
62,0,0,2,1,0,0
63,2,1,2,2,0,2
64,0,2,0,1,1,0
65,0,2,0,3,4,0
66,0,0,0,0,0,0
67,0,0,0,1,1,0
68,1,0,0,1,1,0
69,1,0,0,0,0,0
7,0,2,1,1,2,1
70,0,0,0,0,0,0
71,1,1,2,0,1,1
72,1,1,0,1,1,1
73,0,1,0,0,0,0
74,1,0,1,0,1,1
75,0,2,0,0,0,0
76,0,2,1,1,1,0
77,0,1,2,1,0,0
78,0,3,0,2,2,0
79,0,0,0,0,0,0
8,0,2,0,1,2,1
80,0,3,0,0,2,0
81,0,1,0,0,1,0
82,0,0,0,1,1,0
83,2,0,4,0,0,1
84,0,1,1,0,0,0
85,0,1,1,1,1,0
86,1,0,3,0,0,1
87,0,1,2,0,1,3
88,2,0,2,0,0,2
89,2,0,2,0,0,2
9,0,2,1,2,1,0
90,0,0,0,0,0,0
91,3,0,4,0,0,2
92,1,0,1,0,0,1
93,0,0,0,0,0,1
94,1,0,1,0,0,1
95,0,0,0,1,0,0
96,1,1,0,0,0,1
97,1,0,1,0,0,2
98,0,1,0,0,0,0
99,0,0,0,0,0,1
